subject,body,label
holding / managing / hand,"i am looking at semantic extensions of "" hand "" and "" hold "" to include controlling or managing or influencing . i need as many cross-linguistic examples ( with sources ) as possible of words for "" hold "" / "" grasp "" or "" hand "" which have been extended ( with appropriate morphology if appropriate ) to mean "" manage "" , "" control "" , "" influence "" or "" deal with "" . for example , english has hand , handle ( noun and verb ) , german has hand , handel , handlung , handhaben , etc . if you can give me any examples from your various synchronic and diachronic territories , i 'd be very grateful . paul woods english department 205 morrill hall oklahoma state university stillwater ok 74078 usa tel : 1 405 744 9474 fax : 1 405 744 6326 email : ncx @ rs . ucc . okstate . edu
",0
qs : syllabus for english linguistics,"i will be teaching a year-long course entitled english linguistics this next year . most linguistics texts take an international approach - - does anyone know of a text which focuses almost exclusively on the english language ? thanks in advance . sandi m . de oliveira u . of evora - portugal sandi @ evunix . uevora . pt
",0
summer opportunities,"hey ! does anyone know of any linguistic-related summer opportunities out there for a college undergraduate ? i ' m interested in something like an anthropological linguistics ( linguistic anthropology , whatever your preference ) program , working on a research project , etc . any ideas ? thanks ! rachel a . lavin rlavin @ emory . edu
",0
qs,"re phonetics lab for mac or pc we would like to know what the market is for phonetics labs for the macintosh . we have an old fashioned lab with sonagraph , pitch meter and other acoustic instruments , but would like to get more up-to - date equipment . in particular we would like to hear from researchers who have used soundscope or other programs . in our faculty we mostly use macs , but if any of you know of an excellent pc - program we would like to know about it . thanks . kirsten gregersen department of applied linguistics odense university , denmark e-mail : kgr @ language . ou . dk kirsten gregersen institut for sprog og kommunikation , odense universitet , campusvej 55 , 5230 odense m tlf . : 6615 8600 , lokal 3409 , direkte valg : 6615 8696 - 3409 e - mail : kgr @ language . ou . dk , telefax : 6593 2483
",0
seeking langacker reference,"in a paper by ronald langacker entitled ' the symbolic nature of cognitive grammar : the meaning of _ of _ and of _ of _ - periphrasis ' ( in martin puetz ( ed ) 1992 _ thirty years of linguistic evolution _ . philadelphia : benjamins ) there is a reference to the following : langacker , r . w . [ 1992 ] [ to appear ] . possession and possessive constructions . i have not been able to find this item . can anyone tell me more about it ( such as , for example , has it appeared yet , and if so , where ) ? - dave scarratt davids @ cse . unsw . edu . au
",0
awali,"is there anyone who can tell me which is the language of the following song ( by pierre bensusan ) , and what is the meaning of this text ? awali , aale ' fa nie say aie faali , ai laa-o fane ' oue ' awaali , whode ' - d ' mma doho manoo-ho amaani nemma fid ' n so . awali . ale oma fin ' way amma ma ma ne vo ^ fa wo ^ f ' ma neh s ' t ' beie a fee , o - o-oui la ^ ma-ne ' - sai o ma-meh fa ^ me ^ ness kin 'd ' way e na fane ' o ^ fa tchi ' kengue ' in the complete version of this song , each paragraph is preceded and followed by paragraphs in french . frank van der leeuw university of amsterdam / holland institute of generative linguistics department of linguistics spuistraat 210 1012 vt amsterdam
",0
palatal on-glides,"does anyone know of any language ( s ) with more than one type of unrounded palatal on-glide between consonant and vowel , e . g . , [ i ] vs [ j ] vs [ ji ] as in [ kan ] vs [ kian ] vs [ kjan ] vs [ kjian ] the reason for my asking is because middle chinese is often assumed to have such a four-way contrast - - i personally do not think such a contrast is possible , but i 'd like to check with people working with other language families before i jump to any conclusions . by the way , the notation in square brackets is phonetic , rather than phonemic ; so interpreting the [ kj ] sequence as a palatal affricate will not do . wenchao
",0
looking for horn 's negation book,"i need to find a copy of laurence horn 's ( 1989 ) book entitled _ a natural history of negation _ ( univ . of chicago press ) . the publisher tells me that the paperback edition went out of print in february 1995 and the hard cover edition before that . if anyone can tell me where to find a copy of the book for sale , i 'd appreciate it tremendously . i ' m willing to buy new or used , hard cover or paperback . ( the book is essential for my thesis . ) thank you for any assitance . please respond to : michael beard 73131 . 3101 @ compuserve . com
",0
q ? french aspect,"my question arises from olsen 's 1994 diss on tense-aspect . it is standardly assumed that , e . g . , aimait is both past and imperfect * combined * . but i wonder about its synchronic status in spoken french . it seems to me that you have a simple past / nonpast contrast over three constructions : simple stem ; aux "" have "" + participle ; and infinitives with enclitic "" have "" , thus proportionately : aim-e : aim-ait : : a aime ' : av-ait aime ' : : aim-er - a : aim-er - ait if this analysis is correct for french , would it not be better to assume aimait is the "" simple past tense "" ? ? ? ? ? ? ? ? ? why not let the aspect come "" for free "" as a "" default "" interpretation . just musing .
",0
re : help with spanish translation,"i am translating a paper of mine into spanish for submission to the upcoming international conference on activity theory ( vygotsky ) to be held in havana . while i am an experienced english / spanish translator , my knowledge of spanish ed / psych terminology is very limited . if anyone is able to help me with any of the following "" demons "" i 'd really appreciate it . thanks , pete farruggio * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * research - ( as in "" the research has shown . . . "" [ i think this is called a collective noun ] i ' ve been using "" las investigaciones "" any better ideas ? developmentalism - "" desarollismo "" ? sequenced skills - "" destrezas consecuentes "" ? sight vocabulario - "" vocabulario automatico "" ? curriculum - "" curriculum "" ? ( there are some instances where i need it as an adjective , as in "" curriculum guidelines "" ) child-centered - ( adjective ) . . . a child-centered classroom - "" un salon organizado segun los intereses juveniles "" ? ? ? tutee - "" tutelado "" ? tutoring - ( adj ) as in "" tutoring activity "" . . . "" actividad tutoreal "" ? partnerships - as in "" class partnerships "" - "" emparejamientos entre clases "" ? dyad - "" el diada "" , "" la diada "" or - - - ? dyad - ( adj ) as in "" dyad activity "" - "" actividad diadica [ ' on first a ] "" ?
",0
"collocations of the french "" rapide "" ( fwd )","i am doing a study of the use and meaning of the adjective "" rapide "" in french , with particular emphasis on its collocations , for exemple : pas rapides , mouvement rapide , geste rapide , coup d ' oeil rapide . i am trying to locate references on the semantic and distributional analysis of ' rapide ' . any suggestions about how to locate references in this area would be greatly appreciated . i have already checked in the mla , llba and in the bulletin analytique de la linguistique francaise . many thanks for any help . tatjana janicijevic tatjana @ unixg . ubc . ca
",0
sumiko 's ad,"* * * * * hello , i ' m sumiko from san francisco , california and have just joined always - friends a few days ago . i 'd love to meet a nice man . please see my ad : http : / / 209 . 196 . 132 . 204 / sumiko . htm and if you are a single woman like me who wishes to have a own personal ad , simply contact the always - friends at : ads @ always-friends . org _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ sincerely yours , sumiko b .
",1
tree macros for latex,"i wonder which tex / latex macros linguists use to draw tree structures . i tried tree . sty which was written by edward m . reingold and nachum dershowitz and uses the pictex macros . it works fine but does not do kerning , which means that tree nodes are arranged geometrically as in a ) , not as in b ) , for example ( note the position of the topic node ) : a ) b ) ip ip / \ / \ topic i ' topic i ' / \ / \ fp i + v fp i + v / \ / \ f ' focus f ' focus / \ / \ aspp f aspp f ( example taken from a handout paper by miriam butt and tracy holloway king ) is there a tree macro that draws trees like in b ) ? thanks for your help , i ' ll post the results . karl - michael schneider department of general linguistics university of passau , germany
",0
psoriasis - clear it up now ! !,"if you , a friend or , a relative suffer from the embarrassment of psoriasis , this site may be of interest to you . http : / / 209 . 117 . 58 . 11 / psoriasis if not , we apologize for any intrusion .
",1
maya / mayan language,"i ' m looking for information on the maya / mayan language : descriptive as well as historical . references are also needed . thank you . kalaya tingsabadh department of linguistics faculty of arts chulalongkorn university bangkok 10330 , thailand kalaya @ chulkn . car . chula . ac . th
",0
kroch 's constant rate hypothesis,"content - length : 1953 kroch 1989 argues that syntactic change progresses at the same rate in all contexts ( using ellegard 's 1953 data on auxiliary do ) - a challenge to the notion that changes diffuse . this is obviously an important claim , and kroch 's methodology - matching theoretical syntax with ( to me ) high-level stats - also seems an important advance for historical linguistics . * however * - ogura 1993 is a direct challenge to kroch , re-using the ellegard data and the same statistical method , but claiming that the data actually shows the opposite of what kroch claims : i . e . that the change in auxiliary do use * differs * in rate between contexts . i ' m working on auxiliary do within a more variationist model , and i ' m just not up to judging who is right in this argument : can a more stats literate person help , or is there a reply by kroch i ' m not aware of ? anthony kroch , 1989 , ` reflexes of grammar in patterns of language change ' , language variation and change 1 , pp . 199-244 mieko ogura , 1993 , ` the development of periphrastic do in english ' , diachronica , x . 1 , pp 51-85 jonathan hope ( j . r . hope @ leeds . uk . ac ) school of english university of leeds uk
",0
antipassive and reflexive,"some time ago , i posted a question asking whether people knew of languages that had both a reflexive morpheme ( attached to v ) and an antipassive morpheme ( attached to v ) , where the two were different . i received three replies which are included below in abbreviated form . i thank those who responded for their help : angela terrill , mike darnell , and suzanne kemmer * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * there are thirteen or so australian languages which have antipassives ( all pama - nyungan ) . of these , most use the same morphology as their reflexives . some languages have antipassive verbal morphology but no reflexive morphology . but the languages which have separate explicit verbal morphology for reflexives and antipassives are , including sources : * dyirbal ( around cairns ) marks antipassive with - ngay - . reflexive is rriy ~ yirriy ~ marriy ~ ( m ) barriy . dixon ( 1972 ) the dyirbal language of north queensland ( cambridge : cup ) * warungu ( west of dyirbal , not closely related ) has antipassive - gali - and reflexive - li - . probably historically related . t . tsunoda ( 1974 ) ' a grammar of the warungu language ' monash university ma thesis * kalkatungu ( western queensland ) has antipassive - yi - and reflexive - ti - . maybe historically related . b . j . blake ( 1979 ) a kalkatungu grammar ( canberra : pacific linguistics ) the proto - pama - nyungan ( and maybe proto - australian ? ) reflexive form is something like * - dhi - rri - , where dh is a laminal stop , either lamino-palatal or lamino-dental . the overwhelming majority of reflexive ( and antipassive ) markers in pama - nyungan languages are reflexes of this . the warungu and kalkatungu antipassive forms given above are probably reflexes of this also , but the dyirbal form definitely is n't ( although , interestingly , it is cognate with an applicative form in nearby yidiny ( dixon 1977 ) . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * does this work for you ? lix-t - 0 - as ta sitn put . dowm-trans - 3sgo - 3sga art basket he / she put down the basket . lix-m - 0 t-ta sitn put . down-intrans - 3sgs oblique case-art basket he / she put down the basket . now admittedly there are some complexities to this situation . some salish anists ( the examples from squamish , british columbia ) dispute the antipassive analysis in the second example , but putting that aside payaq-t - sut prepare-trans - reflexive he / she prepared himself / herself . this seems to fit your requirements , but i have a question . could the morpheme in your example , and perhaps in the case of others that you mention in passing , be a middle voice marker rather than reflexive . again , from squamish suk ' w-um ( the - um here is identical to the - m above ) bathe-intrans he / she bathes ( only himself or herself , a transitive reading requires the - - t , you saw above ) whatever the case with the examples that you ' ve seen squamish seems to have a morpheme for antipassive and middle , with a separate one for reflexive . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * a number of philippine languages have an antipassive that consists in detransitivizing the verb with a prefix and stripping the object of its 'd eterminer ' ( which marks case ) and other modifiers . the reflexive marker , on the other hand , is a completely different morpheme . kapampangan is a language of this type . another case , i would suggest , is languages whose former reflexive marker now codes antipassive , but which in the meantime have innovated a new reflexive marker . russian uses the suffix ' - sja ' on the verb ' bite ' to mean ' the dog bites ' ( generically ) and similar cases . but - sja is not the reflexive marker in russian . sebja is the productive reflexive marker . - sja does occur on verbs like ' wash ' , but these are not reflexive verbs - - languages tend to mark them differently from reflexives . my book "" the middle voice "" draws the reflexive-middle distinction and documents it from many languages . jeff lidz university of delaware office : ( 302 ) 831-6489 department of linguistics home : ( 302 ) 656-1902 46 e . delaware ave . email : jlidz @ brahms . udel . edu newark , de 19716
",0
please read .,"payless typing service 1624 n . robberson springfield , mo 65803 ( 417 ) 865-7096 moongoddess @ wwn . net to whom it may concern , friday , may 1 , 1998 greetings ! my name is vania . i have recently started a home typing service . i am writing this letter not only to introduce myself , but to offer my services in the above area as well . included in this area of business are the following : typing / mailing , data entry , records / bookkeeping , billing , and various other services depending on you ' re individual needs . i am anxious to get started so please do n't hesitate to contact me . sincerely , vania juarez
",1
bulgarian summer classes in u . s . a .,"content - length : 1170 a colleague is interested in where intermediate bulgarian language classes might be offered this summer . first preference would be at a location in the united states . please reply directly to me : bret parker bparker @ uop . edu university of the pacific stockton , california 209-946 - 2029
",0
re : 6 . 185 ipa,"i am of the opinion that the arabic linguistic society of america should also be part of this discussion ( that is , if democracy is to prevail ) . it is a growi growing organization with an impressive membership list and publications . aleya rouchdy
",0
elsnet,"how to get on elsnet ? thanks
",0
obituary of zhou1 zu3 - mo2,"zhou zumo ( zhou1 zu3 - mo2 ) the noted chinese scholar zhou1 zu3 - mo2 died in a peking hospital on 14 january , 1995 . he was 80 years old . a professor at peking university and a native of peking , prof . zhou1 zu3 - mo2 was one of the world 's greatest experts on the written sources for chinese historical phonology . his principal works are the _ wen4 - xue2 ji2 _ [ the "" inquiring into learning "" collection ] , which contains his most important philological essays , and an annotated edition ( with thorough textual collation ) of the _ guang3 - yun4 _ , the main written source for chinese historical phonology . prof . zhou1 's edition of the _ guang3 - yun4 _ is now the standard .
",0
re : 6 . 185 ipa,"i agree with stemberger : it is embarrassing to stand up in front of an intro class and tell them that the most objective end of our discipline lacks a single coding system . and while we ' re at it , why do n't we start spelling ' fonetics ' like it sounds . bob wachal
",0
re : 6 . 137 ipa,"i did n't follow this discussion , but my reaction is : ' altus ' only means its own opposite when translated into english ( or other languages ) . ' altus ' means ) altus ( , full stop . it 's more a property of the sea ( cf . german ' auf hoher see ' ) that it is ' high ' and 'd eep ' at the same time , depending on perspective ; latin choses to use the same expression for both perspectives . hartmut haberland
",0
linguistic impact of the internet,"i am very interested in studying the linguistic impact of the internet . however , i have not been able to locate a phd program or professor that shares my interest . i have also found it difficult to locate any published materials on the topic ( besides the occasional ny times article ) . i ' m hoping for some direction . bill miller br00293 @ bingsuns . cc . binghamton . edu
",0
re : 6 . 137 ipa,"hac ( h ) ek = little hook . is n't the reason why so many "" amerricanists "" used the hac ( h ) ek , especially for the two major affricates in english , related to the fact that these affricates in english function not as two things but as one thing ? now i am a bit confused , because i had usually used the word "" wedge "" for the diacritic above the "" c "" and the "" j "" - not "" hacek . "" also , if "" hacek "" means "" little hook "" as defined in pullum and ladusaw ( p . 29 ) , is n't it better related to the cedilla , which to me looks more like a little hook than the wedge ? ? ? diacritic mania ! hugh buckingham
",0
"re : 6 . 1119 , disc : kinship terms , re : 1113","re steven straight 's comments , the brevity of son cannot be the sole factor involved , since dad and mom pattern with father and mother , while son is different ( it is not used as a true vocative but is used as the usually-postposed "" bonding "" form ) , and brother is different still , since it is not used in either way . moreover , the contrast between the - er terms and the - er-less son directly reflects the proto - indo - european * p @ te : r , * ma : te : r , * bhra : te : r , etc . , but * su : nus ( @ = schwa ) . alexis manaster ramer
",0
english parser / tagger,"i ' m looking for a good lemmatizer for english and / or a lemmatized corpus . any hints ? thanks in advance . marc
",0
"re : 6 . 1110 , disc : kinship terms , re : 1100 , 1108","david silva writes : > in writing about the lack of a single syllable vocative for "" brother "" ( a la > mom , dad , and sis ) , allan c wechsler notes that perhaps the bve term "" bro "" is > something to consider . well beyond the domain of black vernacular english , "" bro "" was certainly current , in fact required , for addressing a brother , either elder or younger ( i have both ) when i was at ' prep ' and ' public ' schools ( i . e . private schools ) in s . e . england in the 1960s . it could also be used attributively , e . g . "" my bro says . . . "" it felt equivalent to the practice , in respect of all the other boys , of addressing them by their surnames , ( a practice which was also standard at these schools until puberty ) . so it was definitely a form of address acquired outside the family . i have n't heard it , or used it , since . i ' ve never used "" sis "" to or of my sister ; "" sissie "" ( cissie ? ) was always been a term used to insult a boy who seemed insufficiently tough : e . g . "" oh you cissie ! "" apparently my granduncles called my grandmother affectionately "" sis ( sie ) "" in the 1900s . ( here , though , the situation was complicated by the fact that her given name was christine , which they seemed to think shortened to cis . ) marginal uses , only , it seems . nicholas ostler linguacubun ltd 17 oakley road london n1 3ll + 44-171 - 704-1481 nostler @ chibcha . demon . co . uk
",0
re : kinship terms,"fwiw , i believe i ' ve heard "" bro "" in hawai ' ian pidgin in the early ' 70s . i would assume it has an independent origin there . it seemed like to be primarily used to refer to those of one 's own racial / ethnic group ( not necessarily kin ) , but could be extended to include even haoles ( like me ) .
",0
chess - endgame ( fwd ),"thanks to everyone who responded concerning the names for chess . apparently both are acceptable . for the royal game i found a reference in the britanica , and sara friedman cited another one from stefan zweig . for the game of kings there were also literary references , and wide familiarity , so this usage is correct as well . uri bruck bruck @ actcom . co . il
",0
"re : 6 . 1086 , disc : uniformitarianism , re : 1080","omitted from alexis 's summary on uniformitatrianism is the note that it was promulgated , or at least popularized , about 1800 by the geologist charles lyell ; it was necessary as a counter to the "" catastrophism "" that explained observable geological phenomena in a way consisten t with the ibiblical cacccount of creation . lyell was enormously influential on darwin , who took the book with him on the beagle in the latge 1830s and formulated his first important explanations , e . g . of the formation of coral atolls , in uniformitarian rather tan catastrophistic terms .
",0
"re : 6 . 1143 , disc : kinship terms","i am not qualified to speak about english in general , but i have observed that some of the argument is based on statements that are not universally true . i do n't know the source of the usage , but in my family we call children by the same type of term about equally . that is , i am as likely to yell "" daughter , you have a phone call "" as "" son , get down the stairs and do the dishes "" . similarly , i use both terms to indicate closeness : "" nice job , son "" , "" good one , daughter ! "" . my husband has ( i think ) picked it up from me , but my brother 's family does this too . carolyn ostrander clostran @ mailbox . syr . edu
",0
sum : urdu materials in us,"dear linguists , some months ago i wrote to ask about materials for learning urdu ( audio materials in particular ) . i recieved several helpful responses . sanjaya hettihewa ( sanjaya @ wam . umd . edu ) recommended calling the international language center in washington , d . c . in addition to dictionaries , the center has _ an introduction to hindi and urdu _ for $ 29 . 95 and _ urdu for english speakers _ for $ 14 . 00 . however , no audio tapes are available . you can reach the center at ( 202 ) 332-2894 . greg thomson ( gthomson @ gpu . srv . ualberta . ca ) suggested contacting audio forum at ( 203 ) 225-5400 , which does indeed have audio tapes . a set of nine tapes and the accompanying textbook can be bought for $ 185 plus shipping charges . audio forum also offers a free catalogue . i would like to thank sandy cash ( leon @ gibbs . oit . unc . edu ) and aa khan ( aak2 @ unix . york . ac . uk ) for the further advice they gave . all prices given above are in united states dollars . thank you all ! melia m . e . brush ememb @ alpha . pr1 . k12 . co . us
",0
s . hattori dies,"this is the english version of the official announcement released for the japanese press on the afternoon of february 1 , 1995 . - - kazuto matsumura january 31 , 1995 it is with great sorrow and regret that , on behalf of his family , we have to inform you that our respected teacher , the linguist dr . shiro hattori , member of the japan academy , passed away , at the age of eighty-six at 0 : 03 o ' clock , january 29th , 1995 , after a long illness . we would like to inform his friends that the funeral will take place at the sennichidai kaido ( 19 minami - motomachi , shinjuku - ku , tokyo , japan 160 ; tel 3-3353 - 4541 , fax 3-3360 - 6714 ) , at 13 : 00 o ' clock , february 16 . the service will be non-denominational . we would be grateful if you could pray with us that his soul may rest in peace . sincerely yours , hajime kitamura , the chairman funeral service committee
",0
re : 6 . 139 words that are their own opposites,"then there is the curious case of the word "" yet "" , which , as far as i know , formerly meant almost the same as german "" noch "" , but has shifted , through "" not yet "" , esp . in questions , to german "" schon "" . but here in toledo there are people ( my wife ) , who uze it in both meanings - - the syntax alone shows which .
",0
